limit+AC0-deviation,B8,B9,B10,B11,B12,B13
,0.154,0.165,0.18,0.2,0.24,0.28
3,0.14,0.14,0.14,0.14,0.14,0.14
3,0.158,0.17,0.188,0.215,0.26,0.32
6,0.14,0.14,0.14,0.14,0.14,0.14
6,0.172,0.186,0.208,0.24,0.3,0.37
10,0.15,0.15,0.15,0.15,0.15,0.15
10,0.177,0.193,0.22,0.26,0.33,0.42
18,0.15,0.15,0.15,0.15,0.15,0.15
18,0.193,0.212,0.244,0.29,0.37,0.49
30,0.16,0.16,0.16,0.16,0.16,0.16
30,0.209,0.232,0.27,0.33,0.42,0.56
40,0.17,0.17,0.17,0.17,0.17,0.17
40,0.219,0.242,0.28,0.34,0.43,0.57
50,0.18,0.18,0.18,0.18,0.18,0.18
50,0.236,0.264,0.31,0.38,0.49,0.65
65,0.19,0.19,0.19,0.19,0.19,0.19
65,0.246,0.274,0.32,0.39,0.5,0.66
80,0.2,0.2,0.2,0.2,0.2,0.2
80,0.274,0.307,0.36,0.44,0.57,0.76
100,0.22,0.22,0.22,0.22,0.22,0.22
100,0.294,0.327,0.38,0.46,0.59,0.78
120,0.24,0.24,0.24,0.24,0.24,0.24
120,0.323,0.36,0.42,0.51,0.66,0.89
140,0.26,0.26,0.26,0.26,0.26,0.26
140,0.343,0.38,0.44,0.53,0.68,0.91
160,0.28,0.28,0.28,0.28,0.28,0.28
160,0.373,0.41,0.47,0.56,0.71,0.94
180,0.31,0.31,0.31,0.31,0.31,0.31
180,0.412,0.455,0.525,0.63,0.8,0.06
200,0.34,0.34,0.34,0.34,0.34,0.34
200,0.452,0.495,0.565,0.67,0.84,0.1
225,0.38,0.38,0.38,0.38,0.38,0.38
225,0.492,0.535,0.605,0.71,0.88,0.14
250,0.42,0.42,0.42,0.42,0.42,0.42
250,0.561,0.61,0.69,0.8,1,0.29
280,0.48,0.48,0.48,0.48,0.48,0.48
280,0.621,0.67,0.75,0.86,0.06,0.35
315,0.54,0.54,0.54,0.54,0.54,0.54
315,0.689,0.74,0.83,0.96,0.17,0.49
355,0.6,0.6,0.6,0.6,0.6,0.6
355,0.769,0.82,0.91,0.04,0.25,0.57
400,0.68,0.68,0.68,0.68,0.68,0.68
400,0.857,0.915,0.01,0.16,0.39,0.73
450,0.76,0.76,0.76,0.76,0.76,0.76
450,0.937,0.995,0.09,0.24,0.47,0.81
500,0.84,0.84,0.84,0.84,0.84,0.84
