limit+AC0-deviation,E5,E6,E7,E8,E9,E10
,0.018,0.02,0.024,0.028,0.039,0.054
3,0.014,0.014,0.014,0.014,0.014,0.014
3,0.025,0.028,0.032,0.038,0.05,0.068
6,0.02,0.02,0.02,0.02,0.02,0.02
6,0.031,0.034,0.04,0.047,0.061,0.083
10,0.025,0.025,0.025,0.025,0.025,0.025
10,0.04,0.043,0.05,0.059,0.075,0.102
18,0.032,0.032,0.032,0.032,0.032,0.032
18,0.049,0.053,0.061,0.073,0.092,0.124
30,0.04,0.04,0.04,0.04,0.04,0.04
30,0.061,0.066,0.075,0.089,0.112,0.15
50,0.05,0.05,0.05,0.05,0.05,0.05
50,0.073,0.079,0.09,0.106,0.134,0.18
80,0.06,0.06,0.06,0.06,0.06,0.06
80,0.087,0.094,0.107,0.126,0.159,0.212
120,0.072,0.072,0.072,0.072,0.072,0.072
120,0.103,0.11,0.125,0.148,0.185,0.245
180,0.085,0.085,0.085,0.085,0.085,0.085
180,0.12,0.129,0.146,0.172,0.215,0.285
250,0.1,0.1,0.1,0.1,0.1,0.1
250,0.133,0.142,0.162,0.191,0.24,0.32
315,0.11,0.11,0.11,0.11,0.11,0.11
315,0.15,0.161,0.182,0.214,0.265,0.355
400,0.125,0.125,0.125,0.125,0.125,0.125
400,0.162,0.175,0.198,0.232,0.29,0.385
500,0.135,0.135,0.135,0.135,0.135,0.135
500,,0.189,0.215,0.255,0.32,0.425
630,,0.145,0.145,0.145,0.145,0.145
630,,0.21,0.24,0.285,0.36,0.48
800,,0.16,0.16,0.16,0.16,0.16
800,,0.226,0.26,0.31,0.4,0.53
1000,,0.17,0.17,0.17,0.17,0.17
1000,,0.261,0.3,0.36,0.455,0.615
1250,,0.195,0.195,0.195,0.195,0.195
1250,,0.298,0.345,0.415,0.53,0.72
1600,,0.22,0.22,0.22,0.22,0.22
1600,,0.332,0.39,0.47,0.61,0.84
2000,,0.24,0.24,0.24,0.24,0.24
2000,,0.37,0.435,0.54,0.7,0.96
2500,,0.26,0.26,0.26,0.26,0.26
2500,,0.425,0.5,0.62,0.83,0.15
3150,,0.29,0.29,0.29,0.29,0.29
