limit+AC0-deviation,G3,G4,G5,G6,G7,G8,G9,G10
,0.004,0.005,0.006,0.008,0.012,0.016,0.027,0.042
3,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
3,0.0065,0.008,0.009,0.012,0.016,0.022,0.034,0.052
6,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
6,0.0075,0.009,0.011,0.014,0.02,0.027,0.041,0.063
10,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
10,0.009,0.011,0.014,0.017,0.024,0.033,0.049,0.076
18,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
18,0.011,0.013,0.016,0.02,0.028,0.04,0.059,0.091
30,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
30,0.013,0.016,0.02,0.025,0.034,0.048,0.071,0.109
50,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
50,,,0.023,0.029,0.04,0.056,,
80,,,0.01,0.01,0.01,0.01,,
80,,,0.027,0.034,0.047,0.066,,
120,,,0.012,0.012,0.012,0.012,,
120,,,0.032,0.039,0.054,0.077,,
180,,,0.014,0.014,0.014,0.014,,
180,,,0.035,0.044,0.061,0.087,,
250,,,0.015,0.015,0.015,0.015,,
250,,,0.04,0.049,0.069,0.098,,
315,,,0.017,0.017,0.017,0.017,,
315,,,0.043,0.054,0.075,0.107,,
400,,,0.018,0.018,0.018,0.018,,
400,,,0.047,0.06,0.083,0.117,,
500,,,0.02,0.02,0.02,0.02,,
500,,,,0.066,0.092,0.132,,
630,,,,0.022,0.022,0.022,,
630,,,,0.074,0.104,0.149,,
800,,,,0.024,0.024,0.024,,
800,,,,0.082,0.116,0.166,,
1000,,,,0.026,0.026,0.026,,
1000,,,,0.094,0.133,0.193,,
1250,,,,0.028,0.028,0.028,,
1250,,,,0.108,0.155,0.225,,
1600,,,,0.03,0.03,0.03,,
1600,,,,0.124,0.182,0.262,,
2000,,,,0.032,0.032,0.032,,
2000,,,,0.144,0.209,0.314,,
2500,,,,0.034,0.034,0.034,,
2500,,,,0.173,0.248,0.368,,
3150,,,,0.038,0.038,0.038,,
