,M3,M4,M5,M6,M7,M8,M9,M10
,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002,+AC0-0.002
3,+AC0-0.004,+AC0-0.005,+AC0-0.006,+AC0-0.008,+AC0-0.012,+AC0-0.016,+AC0-0.027,+AC0-0.042
3,+AC0-0.003,+AC0-0.0025,+AC0-0.003,+AC0-0.001,0,0.002,+AC0-0.004,+AC0-0.004
6,+AC0-0.0055,+AC0-0.0065,+AC0-0.008,+AC0-0.009,+AC0-0.012,+AC0-0.016,+AC0-0.034,+AC0-0.052
6,+AC0-0.005,+AC0-0.0045,+AC0-0.004,+AC0-0.003,0,0.001,+AC0-0.006,+AC0-0.006
10,+AC0-0.0075,+AC0-0.0085,+AC0-0.01,+AC0-0.012,+AC0-0.015,+AC0-0.021,+AC0-0.042,+AC0-0.064
10,+AC0-0.006,+AC0-0.005,+AC0-0.004,+AC0-0.004,0,0.002,+AC0-0.007,+AC0-0.007
18,+AC0-0.009,+AC0-0.01,+AC0-0.012,+AC0-0.015,+AC0-0.018,+AC0-0.025,+AC0-0.05,+AC0-0.077
18,+AC0-0.0065,+AC0-0.006,+AC0-0.005,+AC0-0.004,0,0.004,+AC0-0.008,+AC0-0.008
30,+AC0-0.0105,+AC0-0.012,+AC0-0.014,+AC0-0.017,+AC0-0.021,+AC0-0.029,+AC0-0.06,+AC0-0.092
30,+AC0-0.0075,+AC0-0.006,+AC0-0.005,+AC0-0.004,0,0.005,+AC0-0.009,+AC0-0.009
50,+AC0-0.0115,+AC0-0.013,+AC0-0.016,+AC0-0.02,+AC0-0.025,+AC0-0.034,+AC0-0.071,+AC0-0.109
50,,,+AC0-0.006,+AC0-0.005,0,0.005,,
80,,,+AC0-0.019,+AC0-0.024,+AC0-0.03,+AC0-0.041,,
80,,,+AC0-0.008,+AC0-0.006,0,0.006,,
120,,,+AC0-0.023,+AC0-0.028,+AC0-0.035,+AC0-0.048,,
120,,,+AC0-0.009,+AC0-0.008,0,0.008,,
180,,,+AC0-0.027,+AC0-0.033,+AC0-0.04,+AC0-0.055,,
180,,,+AC0-0.011,+AC0-0.008,0,0.009,,
250,,,+AC0-0.031,+AC0-0.037,+AC0-0.046,+AC0-0.063,,
250,,,+AC0-0.013,+AC0-0.009,0,0.009,,
315,,,+AC0-0.036,+AC0-0.041,+AC0-0.052,+AC0-0.072,,
315,,,+AC0-0.014,+AC0-0.01,0,0.011,,
400,,,+AC0-0.039,+AC0-0.046,+AC0-0.057,+AC0-0.078,,
400,,,+AC0-0.016,+AC0-0.01,0,0.011,,
500,,,+AC0-0.043,+AC0-0.05,+AC0-0.063,+AC0-0.086,,
500,,,,+AC0-0.026,+AC0-0.026,+AC0-0.026,,
630,,,,+AC0-0.07,+AC0-0.096,+AC0-0.136,,
630,,,,+AC0-0.03,+AC0-0.03,+AC0-0.03,,
800,,,,+AC0-0.08,+AC0-0.11,+AC0-0.155,,
800,,,,+AC0-0.034,+AC0-0.034,+AC0-0.034,,
1000,,,,+AC0-0.09,+AC0-0.124,+AC0-0.174,,
1000,,,,+AC0-0.04,+AC0-0.04,+AC0-0.04,,
1250,,,,+AC0-0.106,+AC0-0.145,+AC0-0.205,,
1250,,,,+AC0-0.048,+AC0-0.048,+AC0-0.048,,
1600,,,,+AC0-0.126,+AC0-0.173,+AC0-0.243,,
1600,,,,+AC0-0.058,+AC0-0.058,+AC0-0.058,,
2000,,,,+AC0-0.15,+AC0-0.208,+AC0-0.288,,
2000,,,,+AC0-0.068,+AC0-0.068,+AC0-0.068,,
2500,,,,+AC0-0.178,+AC0-0.243,+AC0-0.348,,
2500,,,,+AC0-0.076,+AC0-0.076,+AC0-0.076,,
3150,,,,+AC0-0.211,+AC0-0.286,+AC0-0.406,,
