,N3,N4,N5,N6,N7,N8,N9,N10,N11
,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004,+AC0-0.004
3,+AC0-0.006,+AC0-0.007,+AC0-0.008,+AC0-0.01,+AC0-0.014,+AC0-0.018,+AC0-0.029,+AC0-0.044,+AC0-0.064
3,+AC0-0.007,+AC0-0.0065,+AC0-0.007,+AC0-0.005,+AC0-0.004,+AC0-0.002,0,0,0
6,+AC0-0.0095,+AC0-0.0105,+AC0-0.012,+AC0-0.013,+AC0-0.016,+AC0-0.02,+AC0-0.03,+AC0-0.048,+AC0-0.075
6,+AC0-0.009,+AC0-0.0085,+AC0-0.008,+AC0-0.007,+AC0-0.004,+AC0-0.003,0,0,0
10,+AC0-0.0115,+AC0-0.0125,+AC0-0.014,+AC0-0.016,+AC0-0.019,+AC0-0.025,+AC0-0.036,+AC0-0.058,+AC0-0.09
10,+AC0-0.011,+AC0-0.01,+AC0-0.009,+AC0-0.009,+AC0-0.005,+AC0-0.003,0,0,0
18,+AC0-0.014,+AC0-0.015,+AC0-0.017,+AC0-0.02,+AC0-0.023,+AC0-0.03,+AC0-0.043,+AC0-0.07,+AC0-0.11
18,+AC0-0.0135,+AC0-0.013,+AC0-0.012,+AC0-0.011,+AC0-0.007,+AC0-0.003,0,0,0
30,+AC0-0.0175,+AC0-0.019,+AC0-0.021,+AC0-0.024,+AC0-0.028,+AC0-0.036,+AC0-0.052,+AC0-0.084,+AC0-0.13
30,+AC0-0.0155,+AC0-0.014,+AC0-0.013,+AC0-0.012,+AC0-0.008,+AC0-0.003,0,0,0
50,+AC0-0.0195,+AC0-0.021,+AC0-0.024,+AC0-0.028,+AC0-0.033,+AC0-0.042,+AC0-0.062,+AC0-0.1,+AC0-0.16
50,,,+AC0-0.015,+AC0-0.014,+AC0-0.009,+AC0-0.004,0,0,0
80,,,+AC0-0.028,+AC0-0.033,+AC0-0.039,+AC0-0.05,+AC0-0.074,+AC0-0.12,+AC0-0.19
80,,,+AC0-0.018,+AC0-0.016,+AC0-0.01,+AC0-0.004,0,0,0
120,,,+AC0-0.033,+AC0-0.038,+AC0-0.045,+AC0-0.058,+AC0-0.087,+AC0-0.14,+AC0-0.22
120,,,+AC0-0.021,+AC0-0.02,+AC0-0.012,+AC0-0.004,0,0,0
180,,,+AC0-0.039,+AC0-0.045,+AC0-0.052,+AC0-0.067,+AC0-0.1,+AC0-0.16,+AC0-0.25
180,,,+AC0-0.025,+AC0-0.022,+AC0-0.014,+AC0-0.005,0,0,0
250,,,+AC0-0.045,+AC0-0.051,+AC0-0.06,+AC0-0.077,+AC0-0.115,+AC0-0.185,+AC0-0.29
250,,,+AC0-0.027,+AC0-0.025,+AC0-0.014,+AC0-0.005,0,0,0
315,,,+AC0-0.05,+AC0-0.057,+AC0-0.066,+AC0-0.086,+AC0-0.13,+AC0-0.21,+AC0-0.32
315,,,+AC0-0.03,+AC0-0.026,+AC0-0.016,+AC0-0.005,0,0,0
400,,,+AC0-0.055,+AC0-0.062,+AC0-0.073,+AC0-0.094,+AC0-0.14,+AC0-0.23,+AC0-0.36
400,,,+AC0-0.033,+AC0-0.027,+AC0-0.017,+AC0-0.006,0,0,0
500,,,+AC0-0.06,+AC0-0.067,+AC0-0.08,+AC0-0.103,+AC0-0.155,+AC0-0.25,+AC0-0.4
500,,,,+AC0-0.044,+AC0-0.044,+AC0-0.044,+AC0-0.044,,
630,,,,+AC0-0.088,+AC0-0.114,+AC0-0.154,+AC0-0.219,,
630,,,,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05,,
800,,,,+AC0-0.1,+AC0-0.13,+AC0-0.175,+AC0-0.25,,
800,,,,+AC0-0.056,+AC0-0.056,+AC0-0.056,+AC0-0.056,,
1000,,,,+AC0-0.112,+AC0-0.146,+AC0-0.196,+AC0-0.286,,
1000,,,,+AC0-0.066,+AC0-0.066,+AC0-0.066,+AC0-0.066,,
1250,,,,+AC0-0.132,+AC0-0.171,+AC0-0.231,+AC0-0.326,,
1250,,,,+AC0-0.078,+AC0-0.078,+AC0-0.078,+AC0-0.078,,
1600,,,,+AC0-0.156,+AC0-0.203,+AC0-0.273,+AC0-0.388,,
1600,,,,+AC0-0.092,+AC0-0.092,+AC0-0.092,+AC0-0.092,,
2000,,,,+AC0-0.184,+AC0-0.242,+AC0-0.322,+AC0-0.462,,
2000,,,,+AC0-0.11,+AC0-0.11,+AC0-0.11,+AC0-0.11,,
2500,,,,+AC0-0.22,+AC0-0.285,+AC0-0.39,+AC0-0.55,,
2500,,,,+AC0-0.135,+AC0-0.135,+AC0-0.135,+AC0-0.135,,
3150,,,,+AC0-0.27,+AC0-0.345,+AC0-0.465,+AC0-0.675,,
