,P3,P4,P5,P6,P7,P8,P9,P10
,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006,+AC0-0.006
3,+AC0-0.008,+AC0-0.009,+AC0-0.01,+AC0-0.012,+AC0-0.016,+AC0-0.02,+AC0-0.031,+AC0-0.046
3,+AC0-0.011,+AC0-0.0105,+AC0-0.011,+AC0-0.009,+AC0-0.008,+AC0-0.012,+AC0-0.012,+AC0-0.012
6,+AC0-0.0135,+AC0-0.0145,+AC0-0.016,+AC0-0.017,+AC0-0.02,+AC0-0.03,+AC0-0.042,+AC0-0.06
6,+AC0-0.014,+AC0-0.0135,+AC0-0.013,+AC0-0.012,+AC0-0.009,+AC0-0.015,+AC0-0.015,+AC0-0.015
10,+AC0-0.0165,+AC0-0.0175,+AC0-0.019,+AC0-0.021,+AC0-0.024,+AC0-0.037,+AC0-0.051,+AC0-0.073
10,+AC0-0.017,+AC0-0.016,+AC0-0.015,+AC0-0.015,+AC0-0.011,+AC0-0.018,+AC0-0.018,+AC0-0.018
18,+AC0-0.02,+AC0-0.021,+AC0-0.023,+AC0-0.026,+AC0-0.029,+AC0-0.045,+AC0-0.061,+AC0-0.088
18,+AC0-0.0205,+AC0-0.02,+AC0-0.019,+AC0-0.018,+AC0-0.014,+AC0-0.022,0.022,+AC0-0.022
30,+AC0-0.0245,+AC0-0.026,+AC0-0.028,+AC0-0.031,+AC0-0.035,+AC0-0.055,+AC0-0.074,+AC0-0.106
30,+AC0-0.0245,+AC0-0.023,+AC0-0.022,+AC0-0.021,+AC0-0.017,+AC0-0.026,+AC0-0.026,+AC0-0.026
50,+AC0-0.0285,+AC0-0.03,+AC0-0.033,+AC0-0.037,+AC0-0.042,+AC0-0.065,+AC0-0.088,+AC0-0.126
50,,,+AC0-0.027,+AC0-0.026,+AC0-0.021,+AC0-0.032,+AC0-0.032,
80,,,+AC0-0.04,+AC0-0.045,+AC0-0.051,+AC0-0.078,+AC0-0.106,
80,,,+AC0-0.032,+AC0-0.03,+AC0-0.024,+AC0-0.037,+AC0-0.037,
120,,,+AC0-0.047,+AC0-0.052,+AC0-0.059,+AC0-0.091,+AC0-0.124,
120,,,+AC0-0.037,+AC0-0.036,+AC0-0.028,+AC0-0.043,+AC0-0.043,
180,,,+AC0-0.055,+AC0-0.061,+AC0-0.068,+AC0-0.106,+AC0-0.143,
180,,,+AC0-0.044,+AC0-0.041,+AC0-0.033,+AC0-0.05,+AC0-0.05,
250,,,+AC0-0.064,+AC0-0.07,+AC0-0.079,+AC0-0.122,+AC0-0.165,
250,,,+AC0-0.049,+AC0-0.047,+AC0-0.036,+AC0-0.056,+AC0-0.056,
315,,,+AC0-0.072,+AC0-0.079,+AC0-0.088,+AC0-0.137,+AC0-0.186,
315,,,+AC0-0.055,+AC0-0.051,+AC0-0.041,+AC0-0.062,+AC0-0.062,
400,,,+AC0-0.08,+AC0-0.087,+AC0-0.098,+AC0-0.151,+AC0-0.202,
400,,,+AC0-0.061,+AC0-0.055,+AC0-0.045,+AC0-0.068,+AC0-0.068,
500,,,+AC0-0.088,+AC0-0.095,+AC0-0.108,+AC0-0.165,+AC0-0.223,
500,,,,+AC0-0.078,+AC0-0.078,+AC0-0.078,+AC0-0.078,
630,,,,+AC0-0.122,+AC0-0.148,+AC0-0.188,+AC0-0.253,
630,,,,+AC0-0.088,+AC0-0.088,+AC0-0.088,+AC0-0.088,
800,,,,+AC0-0.138,+AC0-0.168,+AC0-0.213,+AC0-0.288,
800,,,,+AC0-0.1,+AC0-0.1,+AC0-0.1,+AC0-0.1,
1000,,,,+AC0-0.156,+AC0-0.19,+AC0-0.24,+AC0-0.33,
1000,,,,+AC0-0.12,+AC0-0.12,+AC0-0.12,+AC0-0.12,
1250,,,,+AC0-0.186,+AC0-0.225,+AC0-0.285,+AC0-0.38,
1250,,,,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14,
1600,,,,+AC0-0.218,+AC0-0.265,+AC0-0.335,+AC0-0.45,
1600,,,,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,
2000,,,,+AC0-0.262,+AC0-0.32,+AC0-0.4,+AC0-0.54,
2000,,,,+AC0-0.195,+AC0-0.195,+AC0-0.195,+AC0-0.195,
2500,,,,+AC0-0.305,+AC0-0.37,+AC0-0.475,+AC0-0.635,
2500,,,,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24,
3150,,,,+AC0-0.375,+AC0-0.45,+AC0-0.57,+AC0-0.78,
