,V5,V6,V7,V8
14,-0.036,-0.036,-0.032,-0.039
18,-0.044,-0.047,-0.05,-0.066
18,-0.044,-0.043,-0.039,-0.047
24,-0.053,-0.056,-0.06,-0.08
24,-0.052,-0.051,-0.047,-0.055
30,-0.061,-0.064,-0.068,-0.088
30,-0.064,-0.063,-0.059,-0.068
40,-0.075,-0.079,-0.084,-0.107
40,-0.077,-0.076,-0.072,-0.081
50,-0.088,-0.092,-0.097,-0.12
50,,-0.096,-0.091,-0.102
65,,-0.115,-0.121,-0.148
65,,-0.114,-0.109,-0.12
80,,-0.133,-0.139,-0.166
80,,-0.139,-0.133,-0.146
100,,-0.161,-0.168,-0.2
100,,-0.165,-0.159,-0.172
120,,-0.187,-0.194,-0.226
120,,-0.195,-0.187,-0.202
140,,-0.22,-0.227,-0.265
140,,-0.221,-0.213,-0.228
160,,-0.246,-0.253,-0.291
160,,-0.245,-0.237,-0.252
180,,-0.27,-0.277,-0.315
180,,-0.275,-0.267,-0.284
200,,-0.304,-0.313,-0.356
200,,-0.301,-0.293,-0.31
225,,-0.33,-0.339,-0.382
225,,-0.331,-0.323,-0.34
250,,-0.36,-0.369,-0.412
250,,-0.376,-0.365,-0.385
280,,-0.408,-0.417,-0.466
280,,-0.416,-0.405,-0.425
315,,-0.448,-0.457,-0.506
315,,-0.464,-0.454,-0.475
355,,-0.5,-0.511,-0.564
355,,-0.519,-0.509,-0.53
400,,-0.555,-0.566,-0.619
400,,-0.582,-0.572,-0.595
450,,-0.622,-0.635,-0.692
450,,-0.647,-0.637,-0.66
500,,-0.687,-0.7,-0.757
