,Z6,Z7,Z8,Z9,Z10,Z11
,+AC0-0.026,+AC0-0.026,+AC0-0.026,+AC0-0.026,+AC0-0.026,+AC0-0.026
3,+AC0-0.032,+AC0-0.036,+AC0-0.04,+AC0-0.051,+AC0-0.066,+AC0-0.086
3,+AC0-0.032,+AC0-0.031,+AC0-0.035,+AC0-0.035,+AC0-0.035,+AC0-0.035
6,+AC0-0.04,+AC0-0.043,+AC0-0.053,+AC0-0.065,+AC0-0.083,+AC0-0.11
6,+AC0-0.039,+AC0-0.036,+AC0-0.042,+AC0-0.042,+AC0-0.042,+AC0-0.042
10,+AC0-0.048,+AC0-0.051,+AC0-0.064,+AC0-0.078,+AC0-0.1,+AC0-0.132
10,+AC0-0.047,+AC0-0.043,+AC0-0.05,+AC0-0.05,+AC0-0.05,+AC0-0.05
14,+AC0-0.058,+AC0-0.061,+AC0-0.077,+AC0-0.093,+AC0-0.12,+AC0-0.16
14,+AC0-0.057,+AC0-0.053,+AC0-0.06,+AC0-0.06,+AC0-0.06,+AC0-0.06
18,+AC0-0.068,+AC0-0.071,+AC0-0.087,+AC0-0.103,+AC0-0.13,+AC0-0.17
18,+AC0-0.069,+AC0-0.065,+AC0-0.073,+AC0-0.073,+AC0-0.073,+AC0-0.073
24,+AC0-0.082,+AC0-0.086,+AC0-0.106,+AC0-0.125,+AC0-0.157,+AC0-0.203
24,+AC0-0.084,+AC0-0.08,+AC0-0.088,+AC0-0.088,+AC0-0.088,+AC0-0.088
30,+AC0-0.097,+AC0-0.101,+AC0-0.121,+AC0-0.14,+AC0-0.172,+AC0-0.218
30,+AC0-0.107,+AC0-0.103,+AC0-0.112,+AC0-0.112,+AC0-0.112,+AC0-0.112
40,+AC0-0.123,+AC0-0.128,+AC0-0.151,+AC0-0.174,+AC0-0.212,+AC0-0.272
40,+AC0-0.131,+AC0-0.127,+AC0-0.136,+AC0-0.136,+AC0-0.136,+AC0-0.136
50,+AC0-0.147,+AC0-0.152,+AC0-0.175,+AC0-0.198,+AC0-0.236,+AC0-0.296
50,,+AC0-0.161,+AC0-0.172,+AC0-0.172,+AC0-0.172,+AC0-0.172
65,,+AC0-0.191,+AC0-0.218,+AC0-0.246,+AC0-0.292,+AC0-0.362
65,,+AC0-0.199,+AC0-0.21,+AC0-0.21,+AC0-0.21,+AC0-0.21
80,,+AC0-0.229,+AC0-0.256,+AC0-0.284,+AC0-0.33,+AC0-0.4
80,,+AC0-0.245,+AC0-0.258,+AC0-0.258,+AC0-0.258,+AC0-0.258
100,,+AC0-0.28,+AC0-0.312,+AC0-0.345,+AC0-0.398,+AC0-0.478
100,,+AC0-0.297,+AC0-0.31,+AC0-0.31,+AC0-0.31,+AC0-0.31
120,,+AC0-0.332,+AC0-0.364,+AC0-0.397,+AC0-0.45,+AC0-0.53
120,,+AC0-0.35,+AC0-0.365,+AC0-0.365,+AC0-0.365,+AC0-0.365
140,,+AC0-0.39,+AC0-0.428,+AC0-0.465,+AC0-0.525,+AC0-0.615
140,,+AC0-0.4,+AC0-0.415,+AC0-0.415,+AC0-0.415,+AC0-0.415
160,,+AC0-0.44,+AC0-0.478,+AC0-0.515,+AC0-0.575,+AC0-0.665
160,,+AC0-0.45,+AC0-0.465,+AC0-0.465,+AC0-0.465,+AC0-0.465
180,,+AC0-0.49,+AC0-0.528,+AC0-0.565,+AC0-0.625,+AC0-0.715
180,,+AC0-0.503,+AC0-0.52,+AC0-0.52,+AC0-0.52,+AC0-0.52
200,,+AC0-0.549,+AC0-0.592,+AC0-0.635,+AC0-0.705,+AC0-0.81
200,,+AC0-0.558,+AC0-0.575,+AC0-0.575,+AC0-0.575,+AC0-0.575
225,,+AC0-0.604,+AC0-0.647,+AC0-0.69,+AC0-0.76,+AC0-0.865
225,,+AC0-0.623,+AC0-0.64,+AC0-0.64,+AC0-0.64,+AC0-0.64
250,,+AC0-0.669,+AC0-0.712,+AC0-0.755,+AC0-0.825,+AC0-0.93
250,,+AC0-0.69,+AC0-0.71,+AC0-0.71,+AC0-0.71,+AC0-0.71
280,,+AC0-0.742,+AC0-0.791,+AC0-0.84,+AC0-0.92,+AC0-1.03
280,,+AC0-0.77,+AC0-0.79,+AC0-0.79,+AC0-0.79,+AC0-0.79
315,,+AC0-0.822,+AC0-0.871,+AC0-0.92,+AC0-1,+AC0-1.11
315,,+AC0-0.879,+AC0-0.9,+AC0-0.9,+AC0-0.9,+AC0-0.9
355,,+AC0-0.936,+AC0-0.989,+AC0-1.04,+AC0-1.13,+AC0-1.26
355,,+AC0-0.979,+AC0-1,+AC0-1,+AC0-1,+AC0-1
400,,+AC0-1.036,+AC0-1.089,+AC0-1.14,+AC0-1.23,+AC0-1.36
400,,+AC0-1.077,+AC0-1.1,+AC0-1.1,+AC0-1.1,+AC0-1.1
450,,+AC0-1.14,+AC0-1.197,+AC0-1.255,+AC0-1.35,+AC0-1.5
450,,+AC0-1.227,+AC0-1.25,+AC0-1.25,+AC0-1.25,+AC0-1.25
500,,+AC0-1.29,+AC0-1.347,+AC0-1.405,+AC0-1.5,+AC0-1.65
