,a9,a10,a11,a12,a13
,+AC0-0.27,+AC0-0.27,+AC0-0.27,+AC0-0.27,+AC0-0.27
3,+AC0-0.295,+AC0-0.31,+AC0-0.33,+AC0-0.37,+AC0-0.41
3,+AC0-0.27,+AC0-0.27,+AC0-0.27,+AC0-0.27,+AC0-0.27
6,+AC0-0.3,+AC0-0.318,+AC0-0.345,+AC0-0.39,+AC0-0.45
6,+AC0-0.28,+AC0-0.28,+AC0-0.28,+AC0-0.28,+AC0-0.28
10,+AC0-0.316,+AC0-0.338,+AC0-0.37,+AC0-0.43,+AC0-0.5
10,+AC0-0.29,+AC0-0.29,+AC0-0.29,+AC0-0.29,+AC0-0.29
18,+AC0-0.333,+AC0-0.36,+AC0-0.4,+AC0-0.47,+AC0-0.56
18,+AC0-0.3,+AC0-0.3,+AC0-0.3,+AC0-0.3,+AC0-0.3
30,+AC0-0.352,+AC0-0.384,+AC0-0.43,+AC0-0.51,+AC0-0.63
30,+AC0-0.31,+AC0-0.31,+AC0-0.31,+AC0-0.31,+AC0-0.31
40,+AC0-0.372,+AC0-0.41,+AC0-0.47,+AC0-0.56,+AC0-0.7
40,+AC0-0.32,+AC0-0.32,+AC0-0.32,+AC0-0.32,+AC0-0.32
50,+AC0-0.382,+AC0-0.42,+AC0-0.48,+AC0-0.57,+AC0-0.71
50,+AC0-0.34,+AC0-0.34,+AC0-0.34,+AC0-0.34,+AC0-0.34
65,+AC0-0.414,+AC0-0.46,+AC0-0.53,+AC0-0.64,+AC0-0.8
65,+AC0-0.36,+AC0-0.36,+AC0-0.36,+AC0-0.36,+AC0-0.36
80,+AC0-0.434,+AC0-0.48,+AC0-0.55,+AC0-0.66,+AC0-0.82
80,+AC0-0.38,+AC0-0.38,+AC0-0.38,+AC0-0.38,+AC0-0.38
100,+AC0-0.467,+AC0-0.52,+AC0-0.6,+AC0-0.73,+AC0-0.92
100,+AC0-0.41,+AC0-0.41,+AC0-0.41,+AC0-0.41,+AC0-0.41
120,+AC0-0.497,+AC0-0.55,+AC0-0.63,+AC0-0.76,+AC0-0.95
120,+AC0-0.46,+AC0-0.46,+AC0-0.46,+AC0-0.46,+AC0-0.46
140,+AC0-0.56,+AC0-0.62,+AC0-0.71,+AC0-0.86,+AC0-1.09
140,+AC0-0.52,+AC0-0.52,+AC0-0.52,+AC0-0.52,+AC0-0.52
160,+AC0-0.62,+AC0-0.68,+AC0-0.77,+AC0-0.92,+AC0-1.15
160,+AC0-0.58,+AC0-0.58,+AC0-0.58,+AC0-0.58,+AC0-0.58
180,+AC0-0.68,+AC0-0.74,+AC0-0.83,+AC0-0.98,+AC0-1.21
180,+AC0-0.66,+AC0-0.66,+AC0-0.66,+AC0-0.66,+AC0-0.66
200,+AC0-0.775,+AC0-0.845,+AC0-0.95,+AC0-1.12,+AC0-1.38
200,+AC0-0.74,+AC0-0.74,+AC0-0.74,+AC0-0.74,+AC0-0.74
225,+AC0-0.855,+AC0-0.925,+AC0-1.03,+AC0-1.2,+AC0-1.46
225,+AC0-0.82,+AC0-0.82,+AC0-0.82,+AC0-0.82,+AC0-0.82
250,+AC0-0.935,+AC0-1.005,+AC0-1.11,+AC0-1.28,+AC0-1.54
250,+AC0-0.92,+AC0-0.92,+AC0-0.92,+AC0-0.92,+AC0-0.92
280,+AC0-1.05,+AC0-1.13,+AC0-1.24,+AC0-1.44,+AC0-1.73
280,+AC0-1.05,+AC0-1.05,+AC0-1.05,+AC0-1.05,+AC0-1.05
315,+AC0-1.18,+AC0-1.26,+AC0-1.37,+AC0-1.57,+AC0-1.86
315,+AC0-1.2,+AC0-1.2,+AC0-1.2,+AC0-1.2,+AC0-1.2
355,+AC0-1.34,+AC0-1.43,+AC0-1.56,+AC0-1.77,+AC0-2.09
355,+AC0-1.35,+AC0-1.35,+AC0-1.35,+AC0-1.35,+AC0-1.35
400,+AC0-1.49,+AC0-1.58,+AC0-1.71,+AC0-1.92,+AC0-2.24
400,+AC0-1.5,+AC0-1.5,+AC0-1.5,+AC0-1.5,+AC0-1.5
450,+AC0-1.655,+AC0-1.75,+AC0-1.9,+AC0-2.13,+AC0-2.47
450,+AC0-1.65,+AC0-1.65,+AC0-1.65,+AC0-1.65,+AC0-1.65
500,+AC0-1.805,+AC0-1.9,+AC0-2.05,+AC0-2.28,+AC0-2.62
