,b8,b9,b10,b11,b12,b13
,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14
3,+AC0-0.154,+AC0-0.165,+AC0-0.18,+AC0-0.2,+AC0-0.24,+AC0-0.28
3,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14,+AC0-0.14
6,+AC0-0.158,+AC0-0.17,+AC0-0.188,+AC0-0.215,+AC0-0.26,+AC0-0.32
6,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15
10,+AC0-0.172,+AC0-0.186,+AC0-0.208,+AC0-0.24,+AC0-0.3,+AC0-0.37
10,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15,+AC0-0.15
18,+AC0-0.177,+AC0-0.193,+AC0-0.22,+AC0-0.26,+AC0-0.33,+AC0-0.42
18,+AC0-0.16,+AC0-0.16,+AC0-0.16,+AC0-0.16,+AC0-0.16,+AC0-0.16
30,+AC0-0.193,+AC0-0.212,+AC0-0.244,+AC0-0.29,+AC0-0.37,+AC0-0.49
30,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17,+AC0-0.17
40,+AC0-0.209,+AC0-0.232,+AC0-0.27,+AC0-0.33,+AC0-0.42,+AC0-0.56
40,+AC0-0.18,+AC0-0.18,+AC0-0.18,+AC0-0.18,+AC0-0.18,+AC0-0.18
50,+AC0-0.219,+AC0-0.242,+AC0-0.28,+AC0-0.34,+AC0-0.43,+AC0-0.57
50,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19,+AC0-0.19
65,+AC0-0.236,+AC0-0.264,+AC0-0.31,+AC0-0.38,+AC0-0.49,+AC0-0.65
65,+AC0-0.2,+AC0-0.2,+AC0-0.2,+AC0-0.2,+AC0-0.2,+AC0-0.2
80,+AC0-0.246,+AC0-0.274,+AC0-0.32,+AC0-0.39,+AC0-0.5,+AC0-0.66
80,+AC0-0.22,+AC0-0.22,+AC0-0.22,+AC0-0.22,+AC0-0.22,+AC0-0.22
100,+AC0-0.274,+AC0-0.307,+AC0-0.36,+AC0-0.44,+AC0-0.57,+AC0-0.76
100,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24,+AC0-0.24
120,+AC0-0.294,+AC0-0.327,+AC0-0.38,+AC0-0.46,+AC0-0.59,+AC0-0.78
120,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26,+AC0-0.26
140,+AC0-0.323,+AC0-0.36,+AC0-0.42,+AC0-0.51,+AC0-0.66,+AC0-0.89
140,+AC0-0.28,+AC0-0.28,+AC0-0.28,+AC0-0.28,+AC0-0.28,+AC0-0.28
160,+AC0-0.343,+AC0-0.38,+AC0-0.44,+AC0-0.53,+AC0-0.68,+AC0-0.91
160,+AC0-0.31,+AC0-0.31,+AC0-0.31,+AC0-0.31,+AC0-0.31,+AC0-0.31
180,+AC0-0.373,+AC0-0.41,+AC0-0.47,+AC0-0.56,+AC0-0.71,+AC0-0.94
180,+AC0-0.34,+AC0-0.34,+AC0-0.34,+AC0-0.34,+AC0-0.34,+AC0-0.34
200,+AC0-0.412,+AC0-0.455,+AC0-0.525,+AC0-0.63,+AC0-0.8,+AC0-1.06
200,+AC0-0.38,+AC0-0.38,+AC0-0.38,+AC0-0.38,+AC0-0.38,+AC0-0.38
225,+AC0-0.452,+AC0-0.495,+AC0-0.565,+AC0-0.67,+AC0-0.84,+AC0-1.1
225,+AC0-0.42,+AC0-0.42,+AC0-0.42,+AC0-0.42,+AC0-0.42,+AC0-0.42
250,+AC0-0.492,+AC0-0.535,+AC0-0.605,+AC0-0.71,+AC0-0.88,+AC0-1.14
250,+AC0-0.48,+AC0-0.48,+AC0-0.48,+AC0-0.48,+AC0-0.48,+AC0-0.48
280,+AC0-0.561,+AC0-0.61,+AC0-0.69,+AC0-0.8,+AC0-1,+AC0-1.29
280,+AC0-0.54,+AC0-0.54,+AC0-0.54,+AC0-0.54,+AC0-0.54,+AC0-0.54
315,+AC0-0.621,+AC0-0.67,+AC0-0.75,+AC0-0.86,+AC0-1.06,+AC0-1.35
315,+AC0-0.6,+AC0-0.6,+AC0-0.6,+AC0-0.6,+AC0-0.6,+AC0-0.6
355,+AC0-0.689,+AC0-0.74,+AC0-0.83,+AC0-0.96,+AC0-1.17,+AC0-1.49
355,+AC0-0.68,+AC0-0.68,+AC0-0.68,+AC0-0.68,+AC0-0.68,+AC0-0.68
400,+AC0-0.769,+AC0-0.82,+AC0-0.91,+AC0-1.04,+AC0-1.25,+AC0-1.57
400,+AC0-0.76,+AC0-0.76,+AC0-0.76,+AC0-0.76,+AC0-0.76,+AC0-0.76
450,+AC0-0.857,+AC0-0.915,+AC0-1.01,+AC0-1.16,+AC0-1.39,+AC0-1.73
450,+AC0-0.84,+AC0-0.84,+AC0-0.84,+AC0-0.84,+AC0-0.84,+AC0-0.84
500,+AC0-0.937,+AC0-0.995,+AC0-1.09,+AC0-1.24,+AC0-1.47,+AC0-1.81
