,n3,n4,n5,n6,n7,n8,n9
,0.006,0.007,0.008,0.01,0.014,0.018,0.029
3,0.004,0.004,0.044,0.004,0.004,0.004,0.004
3,0.0105,0.012,0.013,0.016,0.02,0.026,0.038
6,0.008,0.008,0.008,0.008,0.008,0.008,0.008
6,0.0125,0.014,0.016,0.019,0.025,0.032,0.046
10,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10,0.015,0.017,0.02,0.023,0.03,0.039,0.055
18,0.012,0.012,0.012,0.012,0.012,0.012,0.012
18,0.019,0.021,0.024,0.028,0.036,0.048,0.067
30,0.015,0.015,0.015,0.015,0.015,0.015,0.015
30,0.021,0.024,0.028,0.033,0.042,0.056,0.079
50,0.017,0.017,0.017,0.017,0.017,0.017,0.017
50,,0.028,0.033,0.039,0.05,,
80,,0.02,0.02,0.02,0.02,,
80,,0.033,0.038,0.045,0.058,,
120,,0.023,0.023,0.023,0.023,,
120,,0.039,0.045,0.052,0.067,,
180,,0.027,0.027,0.027,0.027,,
180,,0.045,0.051,0.06,0.077,,
250,,0.031,0.031,0.031,0.031,,
250,,0.05,0.057,0.066,0.086,,
315,,0.034,0.034,0.034,0.034,,
315,,0.055,0.062,0.073,0.094,,
400,,0.037,0.037,0.037,0.037,,
400,,0.06,0.067,0.08,0.103,,
500,,0.04,0.04,0.04,0.04,,
500,,,,0.088,0.114,,
630,,,,0.044,0.044,,
630,,,,0.1,0.13,,
800,,,,0.05,0.05,,
800,,,,0.112,0.146,,
1000,,,,0.056,0.056,,
1000,,,,0.132,0.171,,
1250,,,,0.066,0.066,,
1250,,,,0.156,0.203,,
1600,,,,0.078,0.078,,
1600,,,,0.184,0.242,,
2000,,,,0.092,0.092,,
2000,,,,0.22,0.285,,
2500,,,,0.11,0.11,,
2500,,,,0.27,0.345,,
3150,,,,0.135,0.135,,
