,p3,p4,p5,p6,p7,p8,p9,p10
,0.008,0.009,0.01,0.012,0.016,0.02,0.031,0.046
3,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
3,0.0145,0.016,0.017,0.02,0.024,0.03,0.042,0.06
6,0.012,0.112,0.012,0.012,0.012,0.012,0.012,0.012
6,0.0175,0.019,0.021,0.024,0.03,0.037,0.051,0.073
10,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
10,0.021,0.023,0.026,0.029,0.036,0.045,0.061,0.088
18,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
18,0.026,0.028,0.031,0.035,0.043,0.055,0.074,0.106
30,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
30,0.03,0.033,0.037,0.042,0.051,0.065,0.088,0.126
50,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
50,,0.04,0.045,0.051,0.062,0.078,,
80,,0.032,0.032,0.032,0.032,0.032,,
80,,0.047,0.052,0.059,0.072,0.091,,
120,,0.037,0.037,0.037,0.037,0.037,,
120,,0.055,0.061,0.068,0.083,0.106,,
180,,0.043,0.043,0.043,0.043,0.043,,
180,,0.064,0.07,0.079,0.096,0.122,,
250,,0.05,0.05,0.05,0.05,0.05,,
250,,0.072,0.079,0.088,0.108,0.137,,
315,,0.056,0.056,0.056,0.056,0.056,,
315,,0.08,0.087,0.098,0.119,0.151,,
400,,0.062,0.062,0.062,0.062,0.062,,
400,,0.088,0.095,0.108,0.131,0.165,,
500,,0.068,0.068,0.068,0.068,0.068,,
500,,,,0.122,0.148,0.188,,
630,,,,0.078,0.078,0.078,,
630,,,,0.138,0.168,0.213,,
800,,,,0.088,0.088,0.088,,
800,,,,0.156,0.19,0.24,,
1000,,,,0.1,0.1,0.1,,
1000,,,,0.186,0.225,0.285,,
1250,,,,0.12,0.12,0.12,,
1250,,,,0.218,0.265,0.335,,
1600,,,,0.14,0.14,0.14,,
1600,,,,0.262,0.32,0.4,,
2000,,,,0.17,0.17,0.17,,
2000,,,,0.305,0.37,0.475,,
2500,,,,0.195,0.195,0.195,,
2500,,,,0.375,0.45,0.57,,
3150,,,,0.24,0.24,0.24,,
