,s3,s4,s5,s6,s7,s8,s9,s10
,0.016,0.017,0.018,0.02,0.024,0.028,0.039,0.054
3,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
3,0.0215,0.023,0.024,0.027,0.031,0.037,0.049,0.067
6,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
6,0.0255,0.027,0.029,0.032,0.038,0.045,0.059,0.081
10,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
10,0.031,0.033,0.036,0.039,0.046,0.055,0.071,0.098
18,0.028,0.028,0.028,0.028,0.023,0.028,0.028,0.028
18,0.039,0.041,0.044,0.048,0.056,0.068,0.087,0.119
30,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
30,0.047,0.05,0.054,0.059,0.068,0.082,0.105,0.143
50,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043
50,,0.061,0.066,0.072,0.083,0.099,0.127,
65,,0.053,0.053,0.053,0.053,0.053,0.053,
65,,0.067,0.072,0.078,0.089,0.105,0.133,
80,,0.059,0.059,0.059,0.059,0.059,0.059,
80,,0.081,0.086,0.093,0.106,0.125,0.158,
100,,0.071,0.071,0.071,0.071,0.071,0.071,
100,,0.089,0.094,0.101,0.114,0.133,0.166,
120,,0.079,0.079,0.079,0.079,0.079,0.079,
120,,0.104,0.11,0.117,0.132,0.155,0.192,
140,,0.092,0.092,0.092,0.092,0.092,0.092,
140,,0.112,0.118,0.125,0.14,0.163,0.2,
160,,0.1,0.1,0.1,0.1,0.1,0.1,
160,,0.12,0.126,0.133,0.148,0.171,0.208,
180,,0.108,0.108,0.108,0.108,0.108,0.108,
180,,0.136,0.142,0.151,0.168,0.194,0.237,
200,,0.122,0.122,0.122,0.122,0.122,0.122,
200,,0.144,0.15,0.159,0.176,0.202,0.245,
225,,0.13,0.13,0.13,0.13,0.13,0.13,
225,,0.154,0.16,0.169,0.186,0.212,0.255,
250,,0.14,0.14,0.14,0.14,0.14,0.14,
250,,0.174,0.181,0.19,0.21,0.239,0.288,
280,,0.158,0.158,0.158,0.158,0.158,0.158,
280,,0.186,0.193,0.202,0.222,0.251,0.3,
315,,0.17,0.17,0.17,0.17,0.17,0.17,
315,,0.208,0.215,0.226,0.247,0.279,0.33,
355,,0.19,0.19,0.19,0.19,0.19,0.19,
355,,0.226,0.233,0.244,0.265,0.297,0.348,
400,,0.208,0.208,0.208,0.208,0.208,0.208,
400,,0.252,0.259,0.272,0.295,0.329,0.387,
450,,0.232,0.232,0.232,0.232,0.232,0.232,
450,,0.272,0.279,0.292,0.315,0.349,0.407,
500,,0.252,0.252,0.252,0.252,0.252,0.252,
500,,,,0.324,0.35,0.39,,
560,,,,0.28,0.28,0.28,,
560,,,,0.354,0.38,0.42,,
630,,,,0.31,0.31,0.31,,
630,,,,0.39,0.42,0.465,,
710,,,,0.34,0.34,0.34,,
710,,,,0.43,0.46,0.505,,
800,,,,0.38,0.38,0.38,,
800,,,,0.486,0.52,0.57,,
900,,,,0.43,0.43,0.43,,
900,,,,0.526,0.56,0.61,,
1000,,,,0.47,0.47,0.47,,
1000,,,,0.586,0.625,0.685,,
1120,,,,0.52,0.52,0.52,,
1120,,,,0.646,0.685,0.745,,
1250,,,,0.58,0.58,0.58,,
1250,,,,0.718,0.765,0.835,,
1400,,,,0.64,0.64,0.64,,
1400,,,,0.798,0.845,0.915,,
1600,,,,0.72,0.72,0.72,,
1600,,,,0.912,0.97,0.05,,
1800,,,,0.82,0.82,0.82,,
1800,,,,0.012,0.07,0.15,,
2000,,,,0.92,0.92,0.92,,
2000,,,,0.11,0.175,0.28,,
2240,,,,1,1,1,,
2240,,,,0.21,0.275,0.38,,
2500,,,,0.1,0.1,0.1,,
2500,,,,0.385,0.46,0.58,,
2800,,,,0.25,0.25,0.25,,
2800,,,,0.535,0.61,0.73,,
3150,,,,0.4,0.4,0.4,,
